,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
12,0470005.011,"[[-73.99532599999999, 40.696377999999996], [-73.99460499999999, 40.697888], [-73.994292, 40.698535], [-73.99271, 40.698097], [-73.99302, 40.69746], [-73.993785, 40.69587], [-73.99532599999999, 40.696377999999996]]",2417,         36793,2526,285,2417,685,853,93,2417,90,853,356
13,0470005.022,"[[-73.992744, 40.693605], [-73.99310299999999, 40.692845999999996], [-73.99508, 40.693146999999996], [-73.994619, 40.69412], [-73.994298, 40.694792], [-73.993978, 40.695463], [-73.99307999999999, 40.695217], [-73.99210000000001, 40.694947], [-73.992744, 40.693605]]",1128,         43981,1161,40,1128,605,683,123,1128,32,683,473
14,0470007.003,"[[-73.993438, 40.692153999999995], [-73.993736, 40.691534999999995], [-73.994361, 40.690239], [-73.996233, 40.690757999999995], [-73.995914, 40.691416], [-73.99508, 40.693146999999996], [-73.99310299999999, 40.692845999999996], [-73.993438, 40.692153999999995]]",1238,         49705,1280,39,1238,473,642,91,1238,41,642,407
15,0470013.002,"[[-73.986813, 40.699956], [-73.986864, 40.69922], [-73.98693999999999, 40.698781], [-73.98868399999999, 40.700699], [-73.986794, 40.700626], [-73.986813, 40.699956]]",711,         22918,726,151,711,0,0,0,711,12,0,0
16,0470015.002,"[[-73.980983, 40.693556], [-73.982512, 40.693614], [-73.98245299999999, 40.694796], [-73.982235, 40.697505], [-73.980515, 40.697437], [-73.980632, 40.696346], [-73.98037099999999, 40.696262999999995], [-73.980356, 40.696177999999996], [-73.980139, 40.694683], [-73.979168, 40.693489], [-73.980983, 40.693556]]",1494,         81605,1566,907,1494,152,542,36,1494,64,542,541
17,0470023.001,"[[-73.986794, 40.700626], [-73.98582499999999, 40.700598], [-73.98285, 40.701359], [-73.98293199999999, 40.699771999999996], [-73.983749, 40.699797], [-73.984776, 40.699853999999995], [-73.986532, 40.699923999999996], [-73.986813, 40.699956], [-73.986794, 40.700626]]",1555,         41784,1629,789,1555,168,535,63,1555,70,535,467
18,0470029.012,"[[-73.976407, 40.696191999999996], [-73.976351, 40.695916], [-73.976188, 40.695098], [-73.975987, 40.694089], [-73.975848, 40.693360999999996], [-73.97782699999999, 40.693438], [-73.978094, 40.694623], [-73.978343, 40.696225999999996], [-73.978351, 40.696276], [-73.978376, 40.696355], [-73.977375, 40.696242999999996], [-73.976407, 40.696191999999996]]",1022,         52500,1085,724,1022,85,225,13,1022,56,225,225
19,0470031.001,"[[-73.982512, 40.693614], [-73.980983, 40.693556], [-73.979168, 40.693489], [-73.97782699999999, 40.693438], [-73.97754499999999, 40.691896], [-73.97894699999999, 40.691921], [-73.981791, 40.692025], [-73.981759, 40.692955], [-73.98254, 40.693002], [-73.982512, 40.693614]]",1800,         64117,1928,974,1800,535,803,74,1800,109,803,257
20,0470033.002,"[[-73.976592, 40.687183999999995], [-73.976545, 40.686994], [-73.97936299999999, 40.686682], [-73.98092799999999, 40.688902999999996], [-73.982098, 40.689358], [-73.982957, 40.689699], [-73.98371999999999, 40.690007], [-73.98313399999999, 40.690003], [-73.981476, 40.689931], [-73.978624, 40.689831], [-73.977098, 40.689772999999995], [-73.976592, 40.687183999999995]]",1499,        115547,1575,481,1499,697,757,186,1499,68,757,591
21,0470037.001,"[[-73.98181699999999, 40.687329999999996], [-73.983988, 40.688175], [-73.986155, 40.689018], [-73.98973699999999, 40.69036], [-73.989328, 40.691002], [-73.98896599999999, 40.692099], [-73.987348, 40.691458], [-73.98633099999999, 40.69105], [-73.98536299999999, 40.690667], [-73.98371999999999, 40.690007], [-73.982957, 40.689699], [-73.982098, 40.689358], [-73.98092799999999, 40.688902999999996], [-73.97936299999999, 40.686682], [-73.979812, 40.686645], [-73.98181699999999, 40.687329999999996]]",390,        167607,447,90,390,149,157,26,390,53,157,154
22,0470039.001,"[[-73.982232, 40.686721], [-73.98181699999999, 40.687329999999996], [-73.979812, 40.686645], [-73.97936299999999, 40.686682], [-73.97908799999999, 40.686285], [-73.978026, 40.684864], [-73.978337, 40.684394999999995], [-73.980702, 40.685324], [-73.982661, 40.686085999999996], [-73.982232, 40.686721]]",1162,         58756,1254,299,1162,380,457,100,1162,85,457,297
23,0470039.003,"[[-73.978337, 40.684394999999995], [-73.978743, 40.68376], [-73.979165, 40.683125], [-73.97960499999999, 40.682489], [-73.981993, 40.683417999999996], [-73.981562, 40.684053], [-73.981133, 40.684689], [-73.980702, 40.685324], [-73.978337, 40.684394999999995]]",459,         53879,494,74,459,237,227,64,459,31,227,177
24,0470041.001,"[[-73.982232, 40.686721], [-73.982661, 40.686085999999996], [-73.98482899999999, 40.68693], [-73.98700000000001, 40.687773], [-73.986155, 40.689018], [-73.983988, 40.688175], [-73.98181699999999, 40.687329999999996], [-73.982232, 40.686721]]",1562,         64022,1630,267,1562,629,736,166,1562,62,736,599
25,0470043.001,"[[-73.990648, 40.68913], [-73.990166, 40.689729], [-73.988722, 40.689246], [-73.98916799999999, 40.688615], [-73.990648, 40.68913]]",8,         10613,8,5,8,0,0,0,8,0,0,0
26,0470043.003,"[[-73.98916799999999, 40.688615], [-73.98700000000001, 40.687773], [-73.988289, 40.685869], [-73.99046799999999, 40.686727999999995], [-73.98916799999999, 40.688615]]",918,         49141,951,102,918,407,415,130,918,30,415,319
27,0470045.001,"[[-73.993005, 40.688364], [-73.995001, 40.688915], [-73.99687399999999, 40.689433], [-73.99654799999999, 40.690104], [-73.996233, 40.690757999999995], [-73.994361, 40.690239], [-73.992364, 40.68969], [-73.99268599999999, 40.689032999999995], [-73.993005, 40.688364]]",1151,         54501,1175,44,1151,502,601,129,1151,24,601,391
28,0470047.001,"[[-74.001003, 40.68535], [-74.002364, 40.685736999999996], [-74.004504, 40.686301], [-74.004853, 40.685668], [-74.00549699999999, 40.685846999999995], [-74.007735, 40.686037], [-74.008117, 40.686614999999996], [-74.003946, 40.689046999999995], [-74.001881, 40.692476], [-74.000495, 40.691938], [-73.997793, 40.691188], [-73.998742, 40.689177], [-73.99907, 40.688497999999996], [-73.999378, 40.687853], [-73.999696, 40.687197999999995], [-74.000642, 40.685247], [-74.000891, 40.685300999999995], [-74.001003, 40.68535]]",1445,        330370,1566,259,1445,440,657,103,1445,101,657,456
29,0470129.013,"[[-73.981324, 40.679952], [-73.98089399999999, 40.680586999999996], [-73.980463, 40.681221], [-73.977886, 40.680217], [-73.978676, 40.679047], [-73.97955999999999, 40.679286999999995], [-73.981324, 40.679952]]",517,         38072,554,101,517,249,246,83,517,33,246,177
30,0470161.001,"[[-73.97377999999999, 40.683060999999995], [-73.97174199999999, 40.682646], [-73.97064, 40.682414], [-73.970852, 40.681619999999995], [-73.971394, 40.680082999999996], [-73.974504, 40.680733], [-73.973952, 40.682280999999996], [-73.97377999999999, 40.683060999999995]]",976,         72716,1033,219,976,306,422,102,976,50,422,233
31,0470281.002,"[[-73.936905, 40.692288], [-73.936758, 40.691556], [-73.939681, 40.691219], [-73.939971, 40.692682999999995], [-73.937049, 40.693021], [-73.936905, 40.692288]]",1311,         41083,1345,1027,1311,249,519,67,1311,32,519,472
32,0470281.003,"[[-73.940265, 40.694148], [-73.940118, 40.693416], [-73.939971, 40.692682999999995], [-73.939681, 40.691219], [-73.942516, 40.690892], [-73.942662, 40.691624], [-73.942807, 40.692358], [-73.942951, 40.693090999999995], [-73.9431, 40.693822999999995], [-73.940265, 40.694148]]",1108,         79750,1144,611,1108,225,423,49,1108,32,423,405
33,0470283.001,"[[-73.940555, 40.695616], [-73.943388, 40.695288999999995], [-73.94352599999999, 40.696031], [-73.940705, 40.696354], [-73.937792, 40.69669], [-73.937631, 40.695951], [-73.940555, 40.695616]]",1413,         40795,1472,829,1413,269,467,73,1413,50,467,446
34,0470283.003,"[[-73.940411, 40.694880999999995], [-73.937484, 40.695219], [-73.937342, 40.694485], [-73.940265, 40.694148], [-73.9431, 40.693822999999995], [-73.943243, 40.694558], [-73.940411, 40.694880999999995]]",1329,         40554,1391,908,1329,164,446,64,1329,59,446,354
35,0470287.002,"[[-73.931929, 40.695115], [-73.934417, 40.694821], [-73.937342, 40.694485], [-73.937484, 40.695219], [-73.934558, 40.695554], [-73.933118, 40.695791], [-73.931929, 40.695115]]",550,         35204,581,139,550,171,171,71,550,29,171,128
36,0470289.002,"[[-73.93383299999999, 40.691893], [-73.936758, 40.691556], [-73.936905, 40.692288], [-73.933979, 40.692623999999995], [-73.93105299999999, 40.692961], [-73.93090699999999, 40.692228], [-73.93383299999999, 40.691893]]",946,         41114,962,698,946,163,335,59,946,14,335,275
37,0470293.002,"[[-73.936027, 40.687892], [-73.93310199999999, 40.688232], [-73.93018, 40.688565], [-73.930035, 40.687833], [-73.932958, 40.687495999999996], [-73.935879, 40.68716], [-73.936027, 40.687892]]",872,         41193,899,755,872,205,374,27,872,26,374,357
38,0470305.001,"[[-73.959124, 40.677513999999995], [-73.962229, 40.678166], [-73.961957, 40.678934], [-73.96168, 40.679702], [-73.96131199999999, 40.680456], [-73.958292, 40.679831], [-73.95602199999999, 40.679359], [-73.95528999999999, 40.679202], [-73.955167, 40.678571], [-73.955195, 40.678343], [-73.95547499999999, 40.677575999999995], [-73.955749, 40.676807], [-73.956833, 40.677034], [-73.959124, 40.677513999999995]]",839,        149935,906,379,839,251,316,76,839,44,316,291
39,0470311.001,"[[-73.935857, 40.677611999999996], [-73.935923, 40.676894999999995], [-73.935997, 40.676120999999995], [-73.936078, 40.675335], [-73.938841, 40.675492999999996], [-73.938768, 40.676272], [-73.938695, 40.67705], [-73.938609, 40.677769999999995], [-73.937911, 40.677735999999996], [-73.935857, 40.677611999999996]]",882,         59703,898,739,882,138,302,50,882,15,302,258
40,0470313.001,"[[-73.941463, 40.6772], [-73.941535, 40.676421], [-73.94430299999999, 40.676572], [-73.94422999999999, 40.677351], [-73.944149, 40.678239], [-73.94138099999999, 40.678073], [-73.941463, 40.6772]]",1070,         43219,1126,942,1070,282,444,76,1070,53,444,379
41,0470227.004,"[[-73.958586, 40.681743], [-73.959595, 40.681953], [-73.96161099999999, 40.682375], [-73.961671, 40.682691], [-73.960718, 40.682801999999995], [-73.959785, 40.682908999999995], [-73.95884099999999, 40.683018], [-73.95611199999999, 40.683333], [-73.955666, 40.681137], [-73.958586, 40.681743]]",942,         67189,969,693,942,338,386,95,942,25,386,309
42,0470229.001,"[[-73.956699, 40.686263], [-73.956841, 40.686996], [-73.954684, 40.687245], [-73.954538, 40.686512], [-73.954393, 40.68578], [-73.95655, 40.68553], [-73.956699, 40.686263]]",586,         30382,612,421,586,212,273,57,586,22,273,229
43,0470229.002,"[[-73.954101, 40.684312999999996], [-73.953954, 40.683581], [-73.95611199999999, 40.683333], [-73.956257, 40.684066], [-73.95655, 40.68553], [-73.954393, 40.68578], [-73.954246, 40.685047], [-73.954101, 40.684312999999996]]",935,         45527,983,624,935,348,379,96,935,46,379,273
44,0470229.003,"[[-73.959423, 40.685950999999996], [-73.95956799999999, 40.686682999999995], [-73.956841, 40.686996], [-73.956699, 40.686263], [-73.95655, 40.68553], [-73.959276, 40.685217], [-73.959423, 40.685950999999996]]",655,         38359,678,463,655,228,288,57,655,21,288,228
45,0470229.004,"[[-73.95655, 40.68553], [-73.956257, 40.684066], [-73.95611199999999, 40.683333], [-73.95884099999999, 40.683018], [-73.959276, 40.685217], [-73.95655, 40.68553]]",1219,         57564,1272,779,1219,526,551,140,1219,47,551,446
46,0470231.001,"[[-73.96000599999999, 40.688880999999995], [-73.959859, 40.688148], [-73.95971399999999, 40.687416], [-73.962547, 40.687089], [-73.962694, 40.687819], [-73.962836, 40.688555], [-73.96000599999999, 40.688880999999995]]",1097,         39857,1176,582,1097,561,553,145,1097,67,553,474
47,0470241.002,"[[-73.951757, 40.69133], [-73.951612, 40.690597], [-73.951464, 40.689864], [-73.955122, 40.689443999999995], [-73.95541, 40.690908], [-73.951757, 40.69133]]",909,         51407,940,548,909,332,367,81,909,29,367,322
48,0470243.001,"[[-73.951464, 40.689864], [-73.95117499999999, 40.6884], [-73.954829, 40.687977], [-73.955122, 40.689443999999995], [-73.951464, 40.689864]]",1229,         51447,1275,863,1229,482,589,141,1229,39,589,478
49,0470245.001,"[[-73.953954, 40.683581], [-73.954101, 40.684312999999996], [-73.954246, 40.685047], [-73.95058999999999, 40.685466999999996], [-73.950446, 40.684734999999996], [-73.950299, 40.684000999999995], [-73.953954, 40.683581]]",963,         51455,1008,860,963,258,386,88,963,39,386,260
50,0470245.004,"[[-73.949557, 40.680389999999996], [-73.95337099999999, 40.680641], [-73.953516, 40.681383], [-73.949861, 40.681804], [-73.949715, 40.68107], [-73.949557, 40.680389999999996]]",778,         38289,816,616,778,214,330,56,778,36,330,290
51,0470247.001,"[[-73.949557, 40.680389999999996], [-73.946749, 40.68024], [-73.946274, 40.680212999999995], [-73.943973, 40.680088], [-73.944149, 40.678239], [-73.946911, 40.678391999999995], [-73.949679, 40.678543], [-73.949585, 40.679635999999995], [-73.949557, 40.680389999999996]]",1314,         96636,1366,1100,1314,294,521,85,1314,48,521,468
52,0470249.003,"[[-73.94658, 40.682181], [-73.946437, 40.681449], [-73.949715, 40.68107], [-73.949861, 40.681804], [-73.950009, 40.682536999999996], [-73.946727, 40.682914], [-73.94658, 40.682181]]",1107,         46121,1138,840,1107,422,546,93,1107,25,546,445
53,0470251.001,"[[-73.948185, 40.690242], [-73.947893, 40.688776], [-73.95117499999999, 40.6884], [-73.951464, 40.689864], [-73.948185, 40.690242]]",1117,         46138,1150,827,1117,215,411,65,1117,31,411,354
54,0470253.003,"[[-73.951464, 40.689864], [-73.951612, 40.690597], [-73.951757, 40.69133], [-73.95190199999999, 40.692063], [-73.948622, 40.69244], [-73.948476, 40.691707], [-73.948331, 40.690974], [-73.948185, 40.690242], [-73.951464, 40.689864]]",487,         69246,512,342,487,145,186,50,487,23,186,153
55,0470255.001,"[[-73.949647, 40.697583], [-73.952925, 40.697204], [-73.95336999999999, 40.699405], [-73.950091, 40.699791], [-73.949944, 40.699047], [-73.949788, 40.69831], [-73.949647, 40.697583]]",2891,         69287,3105,1531,2891,193,941,79,2891,195,941,938
56,0470257.001,"[[-73.949207, 40.695378], [-73.9495, 40.696847], [-73.949647, 40.697583], [-73.949788, 40.69831], [-73.94695899999999, 40.698640999999995], [-73.946797, 40.697903], [-73.946638, 40.697179999999996], [-73.946366, 40.695704], [-73.949207, 40.695378]]",1022,         80393,1065,496,1022,167,277,68,1022,42,277,196
57,0470259.011,"[[-73.94352599999999, 40.696031], [-73.943388, 40.695288999999995], [-73.943243, 40.694558], [-73.946078, 40.69423], [-73.948914, 40.693905], [-73.949207, 40.695378], [-73.946366, 40.695704], [-73.94352599999999, 40.696031]]",2010,         80237,2118,1030,2010,486,683,164,2010,100,683,615
58,0470261.003,"[[-73.945349, 40.690567], [-73.948185, 40.690242], [-73.948331, 40.690974], [-73.94549599999999, 40.691300000000005], [-73.942662, 40.691624], [-73.942516, 40.690892], [-73.945349, 40.690567]]",1051,         39872,1089,785,1051,253,445,71,1051,37,445,404
59,0470265.004,"[[-73.94731, 40.685846], [-73.944475, 40.686172], [-73.94163999999999, 40.686496999999996], [-73.94149399999999, 40.685764], [-73.944328, 40.685438999999995], [-73.947165, 40.685113], [-73.94731, 40.685846]]",664,         39912,687,582,664,174,281,56,664,21,281,231
60,0470269.002,"[[-73.940328, 40.67989], [-73.941209, 40.679938], [-73.94326199999999, 40.680051], [-73.94344699999999, 40.681047], [-73.94062, 40.68137], [-73.940477, 40.680634999999995], [-73.940328, 40.67989]]",821,         33661,845,672,821,235,348,65,821,20,348,266
61,0470271.001,"[[-73.938508, 40.679035], [-73.935599, 40.678878], [-73.935857, 40.677611999999996], [-73.937911, 40.677735999999996], [-73.938609, 40.677769999999995], [-73.93982799999999, 40.67799], [-73.94138099999999, 40.678073], [-73.944149, 40.678239], [-73.943973, 40.680088], [-73.94326199999999, 40.680051], [-73.941209, 40.679938], [-73.940328, 40.67989], [-73.938436, 40.679786], [-73.938508, 40.679035]]",1687,        131532,1731,1389,1687,345,641,104,1687,39,641,529
62,0470275.002,"[[-73.938223, 40.683893999999995], [-73.941058, 40.683567], [-73.941204, 40.6843], [-73.938368, 40.684626], [-73.93544399999999, 40.684962999999996], [-73.9353, 40.684228999999995], [-73.938223, 40.683893999999995]]",1233,         40530,1282,1079,1233,368,527,82,1233,47,527,393
63,0470277.001,"[[-73.936027, 40.687892], [-73.935879, 40.68716], [-73.938805, 40.686825], [-73.93909699999999, 40.688289], [-73.936172, 40.688627], [-73.936027, 40.687892]]",1221,         41150,1243,1167,1221,147,423,45,1221,19,423,382
64,0470277.004,"[[-73.94163999999999, 40.686496999999996], [-73.941785, 40.687228], [-73.941932, 40.687962999999996], [-73.93909699999999, 40.688289], [-73.938805, 40.686825], [-73.94163999999999, 40.686496999999996]]",1295,         39886,1321,1158,1295,162,455,53,1295,25,455,396
65,0470279.001,"[[-73.936612, 40.690822], [-73.939533, 40.690484999999995], [-73.942369, 40.69016], [-73.942516, 40.690892], [-73.939681, 40.691219], [-73.936758, 40.691556], [-73.936612, 40.690822]]",924,         40558,956,811,924,167,361,45,924,31,361,295
66,0470279.004,"[[-73.942076, 40.688697], [-73.93924299999999, 40.689023], [-73.93632099999999, 40.689354], [-73.936172, 40.688627], [-73.93909699999999, 40.688289], [-73.941932, 40.687962999999996], [-73.942076, 40.688697]]",821,         40480,837,723,821,186,327,50,821,15,327,244
67,0470579.001,"[[-73.955164, 40.739145], [-73.954084, 40.739446], [-73.95262699999999, 40.739255], [-73.953238, 40.738216], [-73.952975, 40.736079], [-73.95519, 40.735867], [-73.955423, 40.737285], [-73.955472, 40.737997], [-73.955164, 40.739145]]",793,         63814,829,41,793,248,325,85,793,26,325,294
68,0470579.002,"[[-73.948255, 40.729791], [-73.949083, 40.729518], [-73.949911, 40.729244], [-73.950659, 40.728995999999995], [-73.951494, 40.73046], [-73.95178, 40.731152], [-73.952012, 40.732572], [-73.952259, 40.733988], [-73.95245899999999, 40.734688999999996], [-73.952604, 40.735391], [-73.9529, 40.735644], [-73.952975, 40.736079], [-73.953238, 40.738216], [-73.95262699999999, 40.739255], [-73.947064, 40.737516], [-73.94236099999999, 40.735564], [-73.94073399999999, 40.733425], [-73.94461199999999, 40.732071], [-73.944186, 40.729442], [-73.946046, 40.729257], [-73.94624499999999, 40.730487], [-73.948255, 40.729791]]",324,        610569,340,6,324,140,142,43,324,14,142,118
69,0470591.001,"[[-73.941091, 40.722271], [-73.941273, 40.723365], [-73.941687, 40.725882], [-73.940738, 40.725972999999996], [-73.94032299999999, 40.723454], [-73.94022199999999, 40.722865], [-73.941091, 40.722271]]",1007,         30415,1041,29,1007,480,455,172,1007,32,455,406
70,0470591.003,"[[-73.94408299999999, 40.723096999999996], [-73.942222, 40.723273], [-73.94196099999999, 40.721689], [-73.943697, 40.720735999999995], [-73.94440999999999, 40.720272], [-73.94474699999999, 40.720935], [-73.944797, 40.721681], [-73.943863, 40.72177], [-73.94408299999999, 40.723096999999996]]",1108,         46486,1127,5,1108,458,519,144,1108,18,519,400
71,0470449.002,"[[-73.94033, 40.717787], [-73.940439, 40.718433], [-73.94049199999999, 40.718679], [-73.93752599999999, 40.719459], [-73.936549, 40.717211], [-73.940231, 40.717090999999996], [-73.94033, 40.717787]]",1830,         59976,1915,996,1830,225,698,54,1830,81,698,694
72,0470449.003,"[[-73.939264, 40.723273999999996], [-73.938728, 40.722183], [-73.935589, 40.722991], [-73.935041, 40.721669], [-73.938129, 40.720828999999995], [-73.93752599999999, 40.719459], [-73.94049199999999, 40.718679], [-73.940747, 40.720155999999996], [-73.940867, 40.720887], [-73.941075, 40.722167], [-73.941091, 40.722271], [-73.94022199999999, 40.722865], [-73.939311, 40.723348], [-73.939264, 40.723273999999996]]",649,        139678,684,26,649,237,303,66,649,35,303,238
73,0470481.003,"[[-73.93734599999999, 40.713816], [-73.937383, 40.713166], [-73.938784, 40.713190999999995], [-73.940128, 40.712863999999996], [-73.941041, 40.712666], [-73.941385, 40.713347], [-73.941713, 40.714006999999995], [-73.942066, 40.714729], [-73.94121799999999, 40.714707], [-73.937294, 40.714537], [-73.93734599999999, 40.713816]]",1433,         64972,1475,32,1433,845,687,268,1433,40,687,631
74,0470491.004,"[[-73.94456699999999, 40.705020999999995], [-73.94445, 40.704308999999995], [-73.944217, 40.702895], [-73.944105, 40.702186], [-73.94400499999999, 40.701961999999995], [-73.945855, 40.702987], [-73.946265, 40.705604], [-73.944687, 40.705739], [-73.94456699999999, 40.705020999999995]]",1812,         48007,1879,428,1812,305,770,32,1812,60,770,670
75,0470493.003,"[[-73.94163999999999, 40.70823], [-73.93995799999999, 40.70839], [-73.938864, 40.708495], [-73.93852799999999, 40.707782], [-73.938705, 40.707015], [-73.93971499999999, 40.706917999999995], [-73.94139899999999, 40.706758], [-73.941518, 40.707493], [-73.94163999999999, 40.70823]]",923,         40165,956,28,923,515,401,193,923,30,401,366
76,0470495.002,"[[-73.943911, 40.711641], [-73.94403199999999, 40.712378], [-73.944148, 40.713087], [-73.944265, 40.713795999999995], [-73.942583, 40.713955], [-73.942466, 40.713243999999996], [-73.94234999999999, 40.712537], [-73.942228, 40.711801], [-73.942105, 40.711059999999996], [-73.943788, 40.710901], [-73.943911, 40.711641]]",943,         46414,989,24,943,392,411,137,943,43,411,334
77,0470497.003,"[[-73.946186, 40.715067], [-73.946417, 40.716487], [-73.946533, 40.717197999999996], [-73.94485, 40.717357], [-73.944388, 40.714532], [-73.944265, 40.713795999999995], [-73.945949, 40.713637999999996], [-73.94606999999999, 40.714372], [-73.946186, 40.715067]]",1065,         57162,1091,17,1065,641,542,215,1065,26,542,399
78,0470501.002,"[[-73.949372, 40.714067], [-73.949482, 40.714755], [-73.949598, 40.715464], [-73.947954, 40.715616999999995], [-73.947833, 40.714914], [-73.946186, 40.715067], [-73.94606999999999, 40.714372], [-73.94771899999999, 40.714216], [-73.949372, 40.714067]]",1016,         32916,1052,35,1016,424,490,129,1016,33,490,383
79,0470503.001,"[[-73.947366, 40.712061], [-73.947482, 40.71277], [-73.947597, 40.713477], [-73.94771899999999, 40.714216], [-73.94606999999999, 40.714372], [-73.945949, 40.713637999999996], [-73.94583399999999, 40.712927], [-73.945717, 40.712218], [-73.945596, 40.711481], [-73.947245, 40.711324], [-73.947366, 40.712061]]",802,         45430,819,7,802,430,406,120,802,16,406,301
80,0470505.002,"[[-73.94344, 40.708780999999995], [-73.943322, 40.708071], [-73.943202, 40.707335], [-73.944904, 40.707169], [-73.946523, 40.707011], [-73.946756, 40.708466], [-73.94512499999999, 40.708625], [-73.94344, 40.708780999999995]]",1131,         46044,1214,103,1131,590,436,208,1131,68,436,390
81,0470509.001,"[[-73.94866499999999, 40.704564999999995], [-73.947052, 40.703663999999996], [-73.949379, 40.702158999999995], [-73.95064099999999, 40.703286999999996], [-73.95190000000001, 40.704418], [-73.950237, 40.705473], [-73.94983599999999, 40.705228999999996], [-73.949254, 40.704896], [-73.94866499999999, 40.704564999999995]]",1644,         72001,1653,11,1644,84,330,32,1644,9,330,274
82,0470519.001,"[[-73.953865, 40.715433], [-73.956439, 40.717031999999996], [-73.955844, 40.717589], [-73.954061, 40.719246], [-73.953469, 40.719798], [-73.952477, 40.719218999999995], [-73.95240199999999, 40.718796999999995], [-73.952297, 40.718146999999995], [-73.952287, 40.718084999999995], [-73.951859, 40.715528], [-73.952178, 40.715306], [-73.952793, 40.714763], [-73.953865, 40.715433]]",1454,        118783,1523,32,1454,797,697,256,1454,64,697,580
