neibRank,neib,walkScore,tranScore,bikeScore,neibPop
133,Grand Crossing,68,67,56,"11,531"
134,Marycrest,68,52,48,626
135,South Chicago,68,62,55,"28,333"
136,West Chatham,67,70,52,"3,963"
137,Fifth City,67,75,60,"2,494"
138,Dunning,67,55,51,"7,285"
139,Beverly,67,54,54,"11,905"
140,Roseland,67,60,48,"21,121"
141,Belmont Heights,66,56,50,"12,952"
142,Washington Park,66,72,54,"12,003"
143,West Lawn,66,59,53,"35,383"
144,Englewood,65,65,53,"49,869"
145,Edison Park,65,52,51,"10,978"
146,Parkway Gardens,65,76,60,"1,248"
147,West Englewood,65,61,54,"25,768"
148,Galewood,64,60,54,"14,952"
149,West Elsdon,64,63,51,"18,227"
150,Pullman,64,58,45,"1,601"
151,Ashburn,62,55,43,"14,364"
152,Kennedy Park,62,46,52,"1,994"
153,Parkview,62,57,48,"1,336"
154,Clearing (W),62,43,57,"16,037"
155,Marquette Park,62,58,50,"31,178"
156,Scottsdale,61,58,46,"13,856"
157,Woodlawn,61,72,58,"14,836"
158,Beverly View,61,59,52,816
159,The Robert Taylor Homes,61,73,51,945
160,Morgan Park,60,52,55,"17,036"
161,West Beverly,60,47,51,"4,124"
162,Rosemoor,60,68,48,"9,025"
163,Calumet Heights,59,58,47,"12,220"
164,Norwood Park East,59,53,60,"11,624"
165,Union Ridge,59,57,52,"4,872"
166,Washington Heights,59,61,50,"5,346"
167,Prairie Shores,59,64,67,"2,163"
168,Edgebrook,59,43,51,"4,358"
169,Garfield Ridge,59,46,47,"25,428"
170,Oriole Park,58,52,47,"4,648"
171,Burnside,58,68,45,"9,891"
172,Vittum Park,58,53,48,"4,416"
173,Pill Hill,58,57,46,"1,729"
174,Fernwood,58,60,46,"10,133"
175,The Bush,57,63,48,"2,565"
176,South Commons,57,70,65,"2,304"
177,Sleepy Hollow,57,47,48,"1,380"
178,Longwood Manor,57,69,48,"7,551"
179,Schorsch Forest View,57,38,46,"2,091"
180,Wrightwood,57,54,44,"9,461"
181,Wentworth Gardens,56,72,56,736
182,West Chesterfield,56,82,43,"4,136"
183,Old Norwood Park,56,56,53,"3,508"
184,Fuller Park,55,72,46,"2,836"
185,Oakland,55,55,69,"4,424"
186,Beverly Woods,54,48,51,"1,099"
187,Wildwood,54,47,60,"3,756"
188,Big Oaks,54,48,50,"4,791"
189,East Side,54,38,53,"23,145"
190,Hegewisch,54,41,51,"12,864"
191,Belmont Terrace,54,56,46,"2,656"
192,East Beverly,52,53,51,"4,268"
193,Mount Greenwood,52,43,44,"16,525"
194,West Pullman,52,58,47,"29,280"
195,Forest Glen,51,61,56,"1,334"
196,LeClaire Courts,51,45,47,"1,652"
197,Clearing (E),51,66,52,569
198,Sauganash,50,43,52,"7,058"
199,Chrysler Village,49,56,54,"1,286"
200,Princeton Park,47,86,44,"3,162"
201,Ford City,47,63,41,900
202,Mount Greenwood Heights,46,48,40,838
203,Norwood Park West,46,55,47,"6,508"
204,O'Hare,46,51,43,"13,131"
205,South Deering,45,51,50,"8,355"
206,Irving Woods,43,53,44,"4,219"
207,Chicago Midway Airport,42,59,45,739
208,Lake Calumet,38,56,37,"2,531"
209,Trumbull Park,34,40,46,587
210,Cottage Grove Heights,33,62,36,"2,064"
211,Altgeld Gardens,32,42,36,"2,435"
212,Golden Gate,32,45,37,"1,930"
213,Eden Green,30,47,37,"1,518"
214,London Towne,27,63,38,885
215,Tally's Corner,26,49,37,"1,652"
